mean_before_daily,0.0438%
mean_after_daily,0.0164%
mean_before_weekly,0.2256%
mean_after_weekly,0.1058%
mean_before_monthly,1.1036%
mean_after_monthly,0.1519%
mean_before_cash,2.6119%
mean_after_cash,3.7067%
std_before_daily,1.3519%
std_after_daily,1.5986%
std_before_weekly,2.6842%
std_after_weekly,3.4345%
std_before_monthly,5.0843%
std_after_monthly,6.3653%
std_before_cash,2.9735%
std_after_cash,2.2582%
median_before_daily,-0.0032%
median_after_daily,-0.0118%
median_before_weekly,0.1325%
median_after_weekly,0.0666%
median_before_monthly,0.9453%
median_after_monthly,0.1002%
median_before_cash,2.0522%
median_after_cash,3.239%
max_before_daily,0.5657%
max_after_daily,0.5161%
max_before_weekly,3.0289%
max_after_weekly,2.461%
max_before_monthly,-6.336%
max_after_monthly,11.9393%
max_before_cash,12.6406%
max_after_cash,21.9452%
min_before_daily,-0.3193%
min_after_daily,-0.4064%
min_before_weekly,-1.4325%
min_after_weekly,-1.8382%
min_after_monthly,-8.1065%
min_before_cash,0.0%
min_after_cash,0.0%
0.25_before_daily,-0.0435%
0.25_after_daily,-0.0408%
0.25_before_weekly,-0.2058%
0.25_after_weekly,-0.2096%
0.25_before_monthly,-0.8878%
0.25_after_monthly,-1.2297%
0.25_before_cash,1.0588%
0.25_after_cash,1.4095%
0.75_before_daily,0.136%
0.75_after_daily,0.0782%
0.75_before_weekly,0.6191%
0.75_after_weekly,0.4001%
0.75_before_monthly,2.8851%
0.75_after_monthly,1.53%
0.75_before_cash,3.3154%
0.75_after_cash,4.6968%
tttest_mean_daily,0.0882%
tttest_mean_weekly,0.1202%
ttest_mean_monthly,significant
ttest_std_daily,significant
ttest_std_weekly,significant
ttest_std_monthly,significant
ttest_median_daily,not significant
ttest_median_weekly,not significant
ttest_median_monthly,significant
